energy,protein,fat,carbohydrate,valine,isoleucine,arginine,histidine,leucine,lysine,methionine,threonine,phenylalanine,alanine,aspartic_acid,glycine,glutamic_acid,proline,serine,tyrosine,cystine,sfa,omega_3,omega_6,omega_9,potassium,calcium,magnesium,sodium,sulfur,phosphorus,iron,manganese,copper,selen,zinc,bor,cobalt,molybdenum,fluorine,chrome,nickel,iodine,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b4,vitamin_b5,vitamin_b6,vitamin_b9,vitamin_b12,vitamin_c,vitamin_k,vitamin_e,vitamin_d,alpha_carotene,beta_carotene,sugars,glucose,fructose,galactose,lactose,saccharose,starch,fiber,name
48,1.4,0.39,9.12,0.047,0.041,0.045,0.027,0.077,0.097,0.006,0.047,0.052,0.068,0.314,0.04,0.157,0.101,0.083,0.029,0.003,0.027,0,0.077,0.17,259,13,10,1,14,23,0.39,0.077,78,0.1,0.2,125,2,8,11,1,8,1,96,0.03,0.04,0.7,2.8,0.24,0.054,9,0,10,3.3,0.89,0,0,1.094,8.3,2.37,0.94,0,0,5.87,0.7,2,Абрикос
241,3.39,0.51,55.34,0.078,0.063,0.066,0.047,0.105,0.083,0.015,0.073,0.062,0.11,0.937,0.07,0.188,0.821,0.087,0.039,0.019,0.017,0,0.074,0.074,1162,55,32,10,33.9,71,2.66,0.235,343,2.2,0.39,270,8.4,12.2,53.2,80,0,3.4,180,0.015,0.074,0.7,13.9,0.516,0.143,10,0,1,0,4.33,0,0,2.163,48,33.08,12.47,0,0,7.89,0.4,7.3,Абрикосы сушеные
27,0.71,0.16,4.79,0.026,0.022,0.028,0.012,0.042,0.049,0.004,0.026,0.03,0.035,0.163,0.022,0.072,0.043,0.041,0.017,0.002,0.011,0,0.031,0.069,192,8,7,3,7.1,13,0.32,0.053,82,0.1,0.11,0,0,0,0,0,0,0,98,0.021,0.023,0,1.8,0.092,0.054,2,0,3.4,2.2,0.6,0,0,1.17,4.79,0,0,0,0,0,0,1.6,"Абрикосы, консервированные в водной заливке"
160,2,14.66,1.83,0.107,0.084,0.088,0.049,0.143,0.132,0.038,0.073,0.097,0.109,0.236,0.104,0.287,0.098,0.114,0.049,0.027,2.126,0.111,1.705,9.066,485,12,29,7,20,52,0.55,0.142,190,0.4,0.64,100,1,10,7,0.7,0,2,7,0.067,0.13,1.463,14.2,1.389,0.257,81,0,10,21,2.07,0,24,0.062,5,0.24,0.16,0.1,0,0.08,0.5,6.7,Авокадо
57,0.4,0.1,13.4,0.016,0.088,0.042,0.044,0.047,0.332,0.11,0.037,0.091,0.104,0,0.074,0.138,0.006,0.079,0.036,0,0.01,0.04,0.049,0.036,197,11,8,4,4,17,0.7,0.093,130,0.6,0.04,174.4,2.9,1.5,44.7,19.5,9.3,9.7,2,0.02,0.03,0.1,8.7,0.081,0.04,3,0,15,0,0.4,0,0,0.4,7.6,4.32,2.81,0.52,0,0.64,2,1.9,Айва
14,0.9,0.14,1.77,0.024,0.018,0.015,0.009,0.025,0.024,0.005,0.025,0.023,0.025,0.125,0.015,0.194,0.01,0.025,0.007,0.005,0.018,0.052,0.021,0.004,141,18,7,10,9,20,0.41,0.125,25,0.1,0.15,85,4,9,28,3,0,8,25,0.041,0.025,0.55,6.7,0.091,0.042,29,0,2.8,24.1,0.18,0,4,0.299,2,0.36,0.43,0,0,0.05,0.4,1.2,Айсберг (салат кочанный)
371,13.56,7.02,58.55,0.679,0.582,1.06,0.389,0.879,0.747,0.226,0.558,0.542,0.799,1.261,1.636,2.259,0.698,1.148,0.329,0.191,1.459,0.042,2.736,1.671,508,159,248,4,135.6,557,7.61,3.333,525,18.7,2.87,0,0,0,0,0,0,0,0,0.116,0.2,0.2,69.8,1.457,0.591,82,0,4.2,0,1.19,0,0,0.001,1.69,0.27,0.01,0,0,1.4,57.27,6.7,"Амарант, зерна, неприготовленные"
102,3.8,1.58,16.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,135,47,65,6,38,148,2.1,0.854,149,5.5,0.86,0,0,0,0,0,0,0,0,0.015,0.022,0.2,0,0,0.113,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,16.23,2.1,"Амарант, зерна, приготовленные"
52,0.3,0.1,11.8,0.024,0.017,0.019,0.01,0.024,0.011,0.002,0.017,0.013,0.034,0.121,0.024,0.079,0.014,0.03,0.013,0.014,0.03,0.062,0.084,0.012,134,17,13,1,5.3,8,0.3,0.818,113,0.1,0.12,2.3,2.5,9.9,4.2,10,20,0.6,3,0.06,0.02,0.3,5.4,0.16,0.1,18,0,11,0.7,0.2,0,0,0.02,11.8,1.8,2,0,0,4.59,0,1,Ананас
50,0.54,0.12,11.72,0.024,0.019,0.019,0.01,0.024,0.026,0.012,0.019,0.021,0.033,0.121,0.024,0.079,0.017,0.035,0.019,0.014,0.009,0.017,0.023,0.012,109,13,12,1,5.4,8,0.29,0.927,110,0.1,0.12,0,0,0,0,0,0,0,3,0.079,0.032,0,5.5,0.213,0.112,18,0,47.8,0.7,0.02,0,0,0.035,0,0,0,0,0,0,0,1.4,"Ананас, все сорта"
